,SRR893051,SRR893073,SRR893053,SRR893063,SRR893047,SRR893074,SRR893057,SRR893070,SRR893050,SRR893072,SRR893049,SRR893065,SRR893048,SRR893054,SRR893056,SRR893046,SRR893066,SRR893068,SRR893069,SRR893067,SRR893055,SRR893071,SRR893058,SRR893061,SRR893064,SRR893059,SRR893060,SRR893052,SRR893062
,pronucleus,morula,zygote,8-cell blastomere,oocyte,morula,4-cell blastomere,8-cell blastomere,pronucleus,morula,pronucleus,8-cell blastomere,oocyte,2-cell blastomere,2-cell blastomere,oocyte,8-cell blastomere,8-cell blastomere,8-cell blastomere,8-cell blastomere,2-cell blastomere,8-cell blastomere,4-cell blastomere,8-cell blastomere,8-cell blastomere,4-cell blastomere,4-cell blastomere,zygote,8-cell blastomere
ENSG00000205531,13.4314,4.05986,2.82845,20.0443,3.90793,2.63392,5.47533,0.623564,11.3353,5.39706,11.3607,28.0697,2.07625,6.61431,0.993475,0,63.9897,10.9297,4.85952,8.7502,2.46217,24.0698,1.31788,18.7953,0.237432,0,2.82752,9.6783,3.63183
ENSG00000151665,14.1474,10.5747,19.3053,6.29367,16.3288,13.3077,1.90174,0,9.06859,4.83722,7.56774,4.31494,27.7362,7.25733,3.02068,29.5563,0.562404,11.5596,3.9048,12.7928,10.0736,7.26629,2.17449,7.23103,18.7669,0,4.14327,9.74085,6.98328
ENSG00000149600,29.1482,8.48831,9.68521,15.6768,10.3858,5.57089,3.47082,0,17.7544,7.44845,31.7925,17.4758,10.1242,6.48144,3.21308,0.538292,6.2458,4.11545,10.5999,13.4231,1.04814,4.04135,2.80277,13.2063,0,0,9.53611,17.9021,10.2515
ENSG00000112304,12.3555,13.5401,11.7417,0.207171,20.76,11.9594,8.2292,20.0948,10.6915,8.29738,12.8669,1.9099,6.8988,11.8436,14.5074,6.12008,0,21.2439,12.9898,3.79834,12.8507,5.64876,7.86902,2.75908,11.5204,0.608334,7.32751,7.63076,4.22196
ENSG00000229922,0,0,0,0,0,0,0,0,0,1.56051,0,0,0,0,0,0,0,0,33.1738,37.2959,0,7.2423,0,5.05027,138.74,47.5568,0,0,0
ENSG00000101236,24.5524,0.238369,11.1169,4.16494,6.29301,0.838408,13.5248,0.487922,15.1154,1.18314,20.0504,4.13017,5.90276,20.5611,37.0785,4.87755,3.27523,7.0575,7.23616,12.9864,2.60089,3.78956,8.55121,5.99233,5.82329,0.360214,22.7166,17.4821,2.73535
ENSG00000056972,34.6592,0,9.2951,0,3.8394,0,23.158,0,31.342,0.219959,22.8105,3.14064,2.58225,33.2937,13.1204,2.57072,3.45555,8.00591,2.45393,11.2263,4.50878,5.31199,12.0265,0,3.15585,0.870204,15.6229,24.1415,0
ENSG00000258484,1.10046,8.05712,0.824359,5.6369,3.89996,24.9067,0.761995,0,2.81967,8.75641,1.01722,32.4631,0,1.45471,0,0,26.2376,38.0223,0,68.4032,3.56612,6.6714,0,21.4423,0,0,3.60068,4.13197,7.20926
ENSG00000131652,71.5301,0.786157,2.56683,10.3593,4.61294,0.601114,13.0878,0,44.2791,11.305,52.6973,0,3.12554,9.7633,1.53752,1.78646,0,0,0,0,1.36787,0,12.3511,0,0,1.10178,9.77133,11.1829,7.68252
ENSG00000232383,0,3.77098,0,30.3805,0,4.40987,0,0,0,10.2898,0,24.249,0,0,0,0,39.9721,29.8266,8.14924,0,0,40.7751,0,35.6015,10.4885,0,0,0,33.6691
ENSG00000111737,4.06977,0.954354,2.01032,26.3301,2.91923,1.33782,6.54807,4.8372,4.10639,3.75241,6.82767,24.7156,2.27139,3.89288,1.30739,1.99816,46.6376,17.6563,16.3881,45.368,0.632582,3.34902,4.8212,10.1778,2.25113,2.23749,4.8573,6.03625,13.4841
ENSG00000163521,26.1627,0,5.12463,4.18104,6.29798,0,28.7347,41.9,13.1701,2.436,22.0887,1.14228,1.88695,19.245,10.6017,1.78971,0,1.87059,5.02517,6.86109,1.68428,0.843027,26.1866,0.943401,0.45245,0,34.5838,6.71353,1.95988
ENSG00000171928,6.44918,6.59473,3.86206,30.2298,7.3734,10.6691,5.94982,7.10578,6.79944,6.87038,2.14545,17.0259,2.31994,5.27624,1.44782,0,4.93044,4.61591,16.1577,7.84156,8.20444,4.75053,2.76322,40.7372,20.3949,5.69989,2.57788,6.50336,26.7429
ENSG00000116455,0,7.39597,0,31.3173,0,12.5559,0,0,0.418703,40.3233,0,23.6141,0,0,0,0,23.1029,41.956,1.07097,14.4596,0,15.2694,0,23.2111,23.8786,0,0,0,13.4656
ENSG00000127884,3.74653,14.3558,0.619086,8.81975,1.79532,13.3104,8.80387,0,8.62508,20.0827,5.67277,16.3112,0,9.36537,7.53071,0,48.5297,35.3674,0,6.68882,0,12.4483,9.58387,6.52558,1.01805,0,7.91413,14.1214,11.1109
ENSG00000258427,0,5.57048,0,11.704,0,11.8462,0,14.2529,0,7.42902,1.42854,43.1974,0,0,0,2.06066,31.3686,20.706,27.937,32.5007,0,16.7201,0,10.9759,25.2808,0,0,0,9.39104
ENSG00000158470,12.5459,10.49,4.30523,39.4558,1.48915,6.46704,10.8683,11.3039,19.1826,10.6299,16.5058,2.36964,1.80276,7.40617,2.55928,0,2.1972,2.40222,5.95021,20.3777,1.30356,3.58973,1.20391,51.3328,0.217889,4.43428,4.39672,6.62826,11.0959
ENSG00000197746,8.59651,22.7701,5.27789,6.46408,8.6839,19.2444,3.66994,15.4784,4.48718,30.4963,4.25691,15.5457,7.88451,3.64527,1.16774,5.55883,6.6352,18.2401,12.8754,13.1267,2.50854,2.10267,1.44257,21.5566,2.50944,0,1.4711,14.0185,12.8223
